"","algorithm","type","n_observations","n_variables","fit_time","growth"
"1","HClustVar","quantitative",33,8,0.000367879867553711,"rows"
"2","KMeans","quantitative",33,8,0.00587892532348633,"rows"
"3","HClustVar","quantitative",66,8,0.000298023223876953,"rows"
"4","KMeans","quantitative",66,8,0.00663399696350098,"rows"
"5","HClustVar","quantitative",132,8,0.000277042388916016,"rows"
"6","KMeans","quantitative",132,8,0.0054328441619873,"rows"
"7","HClustVar","quantitative",264,8,0.000325918197631836,"rows"
"8","KMeans","quantitative",264,8,0.0111408233642578,"rows"
"9","HClustVar","quantitative",528,8,0.000403881072998047,"rows"
"10","KMeans","quantitative",528,8,0.0074920654296875,"rows"
"11","HClustVar","quantitative",1056,8,0.000401020050048828,"rows"
"12","KMeans","quantitative",1056,8,0.00860095024108887,"rows"
"13","HClustVar","quantitative",2112,8,0.000509977340698242,"rows"
"14","KMeans","quantitative",2112,8,0.0159759521484375,"rows"
"15","HClustVar","quantitative",4224,8,0.000845909118652344,"rows"
"16","KMeans","quantitative",4224,8,0.0311810970306396,"rows"
"17","HClustVar","quantitative",8448,8,0.00130414962768555,"rows"
"18","KMeans","quantitative",8448,8,0.0395998954772949,"rows"
"19","HClustVar","quantitative",16896,8,0.00216388702392578,"rows"
"20","KMeans","quantitative",16896,8,0.0930039882659912,"rows"
"21","HClustVar","quantitative",33,8,0.000338077545166016,"cols"
"22","KMeans","quantitative",33,8,0.00603199005126953,"cols"
"23","HClustVar","quantitative",33,16,0.00032496452331543,"cols"
"24","KMeans","quantitative",33,16,0.00749897956848145,"cols"
"25","HClustVar","quantitative",33,32,0.000432968139648438,"cols"
"26","KMeans","quantitative",33,32,0.00873208045959473,"cols"
"27","HClustVar","quantitative",33,64,0.000725030899047852,"cols"
"28","KMeans","quantitative",33,64,0.013746976852417,"cols"
"29","HClustVar","quantitative",33,128,0.00151681900024414,"cols"
"30","KMeans","quantitative",33,128,0.018622875213623,"cols"
"31","HClustVar","quantitative",33,256,0.00380682945251465,"cols"
"32","KMeans","quantitative",33,256,0.0441350936889648,"cols"
"33","HClustVar","quantitative",33,512,0.0142009258270264,"cols"
"34","KMeans","quantitative",33,512,0.056210994720459,"cols"
"35","HClustVar","quantitative",33,1024,0.0756537914276123,"cols"
"36","KMeans","quantitative",33,1024,0.117268800735474,"cols"
"37","HClustVar","quantitative",33,2048,0.500325918197632,"cols"
"38","KMeans","quantitative",33,2048,0.244943141937256,"cols"
"39","HClustVar","quantitative",33,4096,1.58481097221375,"cols"
"40","KMeans","quantitative",33,4096,0.438287019729614,"cols"
"41","HClustVar","qualitative",435,7,0.010775089263916,"rows"
"42","ModClust","qualitative",435,7,0.0104119777679443,"rows"
"43","HClustVar","qualitative",870,7,0.00725507736206055,"rows"
"44","ModClust","qualitative",870,7,0.0387740135192871,"rows"
"45","HClustVar","qualitative",1740,7,0.0305650234222412,"rows"
"46","ModClust","qualitative",1740,7,0.0226860046386719,"rows"
"47","HClustVar","qualitative",3480,7,0.0037229061126709,"rows"
"48","ModClust","qualitative",3480,7,0.0311849117279053,"rows"
"49","HClustVar","qualitative",6960,7,0.00432205200195312,"rows"
"50","ModClust","qualitative",6960,7,0.0674788951873779,"rows"
"51","HClustVar","qualitative",13920,7,0.00860190391540527,"rows"
"52","ModClust","qualitative",13920,7,0.158502101898193,"rows"
"53","HClustVar","qualitative",27840,7,0.00954103469848633,"rows"
"54","ModClust","qualitative",27840,7,0.252565145492554,"rows"
"55","HClustVar","qualitative",55680,7,0.0225760936737061,"rows"
"56","ModClust","qualitative",55680,7,0.516197919845581,"rows"
"57","HClustVar","qualitative",111360,7,0.0329899787902832,"rows"
"58","ModClust","qualitative",111360,7,1.14678502082825,"rows"
"59","HClustVar","qualitative",222720,7,0.0663840770721436,"rows"
"60","ModClust","qualitative",222720,7,2.00907206535339,"rows"
"61","HClustVar","qualitative",435,7,0.00337004661560059,"cols"
"62","ModClust","qualitative",435,7,0.0264179706573486,"cols"
"63","HClustVar","qualitative",435,14,0.012537956237793,"cols"
"64","ModClust","qualitative",435,14,0.0183370113372803,"cols"
"65","HClustVar","qualitative",435,28,0.0570099353790283,"cols"
"66","ModClust","qualitative",435,28,0.0488801002502441,"cols"
"67","HClustVar","qualitative",435,56,0.217889785766602,"cols"
"68","ModClust","qualitative",435,56,0.152502059936523,"cols"
"69","HClustVar","qualitative",435,112,0.836251020431519,"cols"
"70","ModClust","qualitative",435,112,0.565824031829834,"cols"
"71","HClustVar","qualitative",435,224,3.32999897003174,"cols"
"72","ModClust","qualitative",435,224,2.04471397399902,"cols"
"73","HClustVar","qualitative",435,448,13.1757271289825,"cols"
"74","ModClust","qualitative",435,448,7.40054512023926,"cols"
